MESS_DATUM;F;D
2023090323;2.1;110
2023090400;1.4;120
2023090401;2.2;120
2023090402;2.7;120
2023090403;1.5;110
2023090404;1.8;140
2023090405;1.9;120
2023090406;2.0;120
2023090407;2.2;110
2023090408;3.0;100
2023090409;3.4;120
2023090410;4.6;110
2023090411;4.3;110
2023090412;4.6;110
2023090413;4.4;120
2023090414;5.1;120
2023090415;5.3;100
2023090416;5.0;110
2023090417;4.1;110
2023090418;2.6;110
2023090419;1.8;100
2023090420;2.3;100
2023090421;3.7;110
2023090422;3.6;100
2023090423;3.3;100
2023090500;2.6;120
2023090501;2.9;110
2023090502;2.4;120
2023090503;3.9;120
2023090504;3.8;100
2023090505;3.4;100
2023090506;1.8;90
2023090507;1.9;90
2023090508;4.2;110
2023090509;6.3;120
2023090510;7.5;120
2023090511;7.2;130
2023090512;6.4;120
2023090513;6.5;130
2023090514;6.5;120
2023090515;6.1;110
2023090516;5.9;110
2023090517;5.2;130
2023090518;3.6;130
2023090519;3.1;110
2023090520;3.1;110
2023090521;2.8;120
2023090522;3.1;110
2023090523;3.5;100
2023090600;2.3;90
2023090601;1.9;110
2023090602;2.6;110
2023090603;2.0;130
2023090604;2.2;120
2023090605;3.0;120
2023090606;2.3;120
2023090607;2.1;120
2023090608;3.1;120
2023090609;3.6;120
2023090610;4.1;130
2023090611;4.9;130
2023090612;4.5;130
2023090613;4.3;130
2023090614;3.8;120
2023090615;4.0;110
2023090616;3.0;120
2023090617;2.7;120
2023090618;2.3;100
2023090619;2.2;120
2023090620;1.7;150
2023090621;0.9;120
2023090622;1.6;130
2023090623;2.1;120
2023090700;2.4;140
2023090701;2.1;150
2023090702;1.4;160
2023090703;2.3;120
2023090704;1.5;150
2023090705;2.6;140
2023090706;2.7;140
2023090707;1.4;170
2023090708;1.6;190
2023090709;2.7;130
2023090710;3.3;130
2023090711;3.1;130
2023090712;3.6;110
2023090713;3.7;110
2023090714;4.4;120
2023090715;4.7;120
2023090716;4.5;120
2023090717;3.4;120
2023090718;2.4;130
2023090719;2.0;110
2023090720;2.4;110
2023090721;2.1;100
2023090722;1.3;120
