MESS_DATUM;TT_TU;RF_TU
2021020113;-1.3;71.0
2021020114;-1.5;73.0
2021020115;-1.4;77.0
2021020116;-1.3;79.0
2021020117;-1.6;84.0
2021020118;-1.6;87.0
2021020119;-1.6;88.0
2021020120;-1.5;87.0
2021020121;-1.5;87.0
2021020122;-1.9;95.0
2021020123;-1.9;96.0
2021020200;-1.9;96.0
2021020201;-1.9;96.0
2021020202;-1.8;93.0
2021020203;-1.8;95.0
2021020204;-1.8;94.0
2021020205;-1.7;93.0
2021020206;-1.4;93.0
2021020207;-1.8;94.0
2021020208;-1.6;94.0
2021020209;-1.0;93.0
2021020210;-0.7;91.0
2021020211;-0.3;86.0
2021020212;1.4;77.0
2021020213;1.1;80.0
2021020214;0.8;81.0
2021020215;0.7;84.0
2021020216;0.6;82.0
2021020217;0.1;83.0
2021020218;-0.2;86.0
2021020219;-0.6;93.0
2021020220;-0.5;93.0
2021020221;-0.5;92.0
2021020222;-0.6;92.0
2021020223;-0.7;93.0
2021020300;-0.6;93.0
2021020301;-0.7;94.0
2021020302;-0.6;92.0
2021020303;-0.4;91.0
2021020304;-0.3;92.0
2021020305;0.0;94.0
2021020306;0.2;95.0
2021020307;0.3;95.0
2021020308;0.5;94.0
2021020309;0.6;95.0
2021020310;0.7;96.0
2021020311;0.8;97.0
2021020312;1.0;96.0
2021020313;1.0;96.0
2021020314;1.1;98.0
2021020315;0.9;99.0
2021020316;0.7;98.0
2021020317;0.6;98.0
2021020318;0.6;97.0
2021020319;0.6;96.0
2021020320;0.7;95.0
2021020321;0.7;95.0
2021020322;1.0;93.0
2021020323;0.9;93.0
2021020400;1.2;93.0
2021020401;1.4;92.0
2021020402;1.5;91.0
2021020403;1.2;92.0
2021020404;1.1;90.0
2021020405;0.5;97.0
2021020406;0.7;95.0
2021020407;0.7;95.0
2021020408;0.7;95.0
2021020409;0.9;95.0
2021020410;1.4;91.0
2021020411;1.6;87.0
2021020412;1.9;84.0
2021020413;1.9;86.0
2021020414;1.7;87.0
2021020415;1.4;84.0
2021020416;1.3;85.0
2021020417;1.0;84.0
2021020418;0.8;86.0
2021020419;0.7;85.0
2021020420;0.7;85.0
2021020421;0.7;83.0
2021020422;0.7;85.0
2021020423;0.7;85.0
2021020500;0.6;85.0
2021020501;0.5;87.0
2021020502;0.5;87.0
2021020503;0.4;88.0
2021020504;0.4;88.0
2021020505;0.4;87.0
2021020506;0.3;89.0
2021020507;0.3;87.0
2021020508;0.4;87.0
2021020509;0.6;86.0
2021020510;0.7;85.0
2021020511;1.1;85.0
2021020512;1.1;83.0
2021020513;1.2;81.0
2021020514;1.5;77.0
2021020515;1.3;75.0
2021020516;1.3;72.0
2021020517;0.7;75.0
2021020518;0.5;74.0
2021020519;0.5;72.0
2021020520;0.5;70.0
2021020521;0.2;71.0
2021020522;0.1;70.0
2021020523;-0.2;68.0
2021020600;-0.5;69.0
2021020601;-0.5;68.0
2021020602;-0.6;70.0
2021020603;-0.7;70.0
2021020604;-0.9;69.0
2021020605;-0.9;67.0
2021020606;-1.2;66.0
2021020607;-1.1;61.0
2021020608;-1.1;57.0
2021020609;-1.0;60.0
2021020610;-0.6;64.0
2021020611;-0.4;62.0
2021020612;-0.3;63.0
2021020613;-0.1;59.0
2021020614;-0.1;58.0
2021020615;-0.3;57.0
2021020616;-0.8;62.0
2021020617;-1.1;57.0
2021020618;-1.5;56.0
2021020619;-2.5;63.0
2021020620;-2.9;63.0
2021020621;-3.3;59.0
2021020622;-3.4;58.0
2021020623;-3.0;56.0
2021020700;-3.2;59.0
2021020701;-3.3;61.0
2021020702;-3.4;61.0
2021020703;-3.6;63.0
2021020704;-3.9;66.0
2021020705;-4.1;63.0
2021020706;-4.6;63.0
2021020707;-5.0;63.0
2021020708;-4.9;60.0
2021020709;-4.8;56.0
2021020710;-4.8;53.0
2021020711;-4.8;53.0
2021020712;-4.5;51.0
2021020713;-4.3;48.0
2021020714;-4.2;48.0
2021020715;-3.9;47.0
2021020716;-3.7;47.0
2021020717;-3.3;45.0
2021020718;-3.2;46.0
2021020719;-3.1;47.0
2021020720;-3.1;46.0
2021020721;-3.3;51.0
2021020722;-3.4;54.0
2021020723;-3.4;57.0
2021020800;-3.7;57.0
2021020801;-3.8;58.0
2021020802;-3.7;58.0
2021020803;-3.8;57.0
2021020804;-3.5;58.0
2021020805;-3.4;57.0
2021020806;-3.4;56.0
2021020807;-3.4;54.0
2021020808;-3.4;56.0
2021020809;-3.1;54.0
2021020810;-2.9;54.0
2021020811;-2.5;51.0
2021020812;-2.2;50.0
2021020813;-1.8;50.0
2021020814;-1.6;51.0
2021020815;-1.8;53.0
2021020816;-2.1;59.0
2021020817;-2.1;59.0
2021020818;-2.3;61.0
2021020819;-2.3;61.0
2021020820;-2.0;61.0
2021020821;-1.6;62.0
2021020822;-3.4;78.0
2021020823;-4.9;85.0
2021020900;-5.2;83.0
2021020901;-5.5;85.0
2021020902;-5.1;83.0
2021020903;-5.2;87.0
2021020904;-5.5;89.0
2021020905;-5.3;89.0
2021020906;-5.5;83.0
2021020907;-6.0;78.0
2021020908;-5.9;76.0
2021020909;-5.6;78.0
2021020910;-5.3;80.0
2021020911;-4.8;77.0
2021020912;-4.4;79.0
2021020913;-4.3;82.0
2021020914;-4.4;84.0
2021020915;-4.2;84.0
2021020916;-4.0;83.0
2021020917;-4.1;87.0
2021020918;-3.3;88.0
2021020919;-3.7;88.0
2021020920;-3.7;88.0
2021020921;-3.7;88.0
2021020922;-3.8;87.0
2021020923;-4.0;86.0
2021021000;-3.7;82.0
2021021001;-4.1;83.0
2021021002;-4.1;82.0
2021021003;-4.5;81.0
2021021004;-4.7;83.0
2021021005;-4.3;86.0
2021021006;-5.5;91.0
2021021007;-3.8;85.0
2021021008;-4.0;81.0
2021021009;-3.3;79.0
2021021010;-2.9;77.0
2021021011;-2.7;79.0
2021021012;-2.6;77.0
2021021013;-2.3;75.0
2021021014;-2.1;72.0
2021021015;-2.2;70.0
2021021016;-2.4;69.0
2021021017;-2.6;71.0
2021021018;-2.9;74.0
2021021019;-4.1;78.0
2021021020;-3.9;74.0
2021021021;-4.8;79.0
2021021022;-5.9;81.0
2021021023;-7.9;87.0
2021021100;-9.8;92.0
2021021101;-10.7;90.0
2021021102;-8.6;87.0
2021021103;-5.9;82.0
2021021104;-6.2;81.0
2021021105;-7.2;84.0
2021021106;-9.7;91.0
2021021107;-8.7;93.0
2021021108;-8.8;90.0
2021021109;-5.8;84.0
2021021110;-4.9;82.0
2021021111;-3.7;76.0
2021021112;-2.1;64.0
2021021113;-1.7;63.0
2021021114;-1.5;55.0
2021021115;-2.0;52.0
2021021116;-2.8;63.0
2021021117;-2.9;64.0
2021021118;-3.6;64.0
2021021119;-5.8;72.0
2021021120;-7.6;82.0
2021021121;-9.3;87.0
2021021122;-10.7;90.0
2021021123;-11.1;90.0
2021021200;-12.5;90.0
2021021201;-12.1;90.0
2021021202;-9.1;90.0
2021021203;-9.3;85.0
2021021204;-9.4;84.0
2021021205;-9.1;79.0
2021021206;-8.7;80.0
2021021207;-8.1;81.0
2021021208;-7.8;80.0
2021021209;-5.9;74.0
2021021210;-4.3;71.0
2021021211;-3.1;64.0
2021021212;-2.6;61.0
2021021213;-2.1;56.0
2021021214;-2.5;50.0
2021021215;-2.6;52.0
2021021216;-3.2;50.0
2021021217;-5.3;56.0
2021021218;-5.8;60.0
2021021219;-8.2;71.0
2021021220;-9.5;86.0
2021021221;-10.5;82.0
2021021222;-10.6;84.0
2021021223;-11.8;89.0
2021021300;-11.8;91.0
2021021301;-12.2;91.0
2021021302;-12.6;93.0
2021021303;-13.2;87.0
2021021304;-13.0;91.0
2021021305;-13.4;92.0
2021021306;-13.5;89.0
2021021307;-13.8;87.0
2021021308;-12.0;82.0
2021021309;-8.4;79.0
2021021310;-5.8;76.0
2021021311;-3.4;71.0
2021021312;-2.2;65.0
2021021313;-0.6;57.0
2021021314;-0.2;57.0
2021021315;-0.3;55.0
2021021316;-1.7;61.0
2021021317;-2.9;65.0
2021021318;-4.7;75.0
2021021319;-6.6;88.0
2021021320;-7.1;85.0
2021021321;-8.2;89.0
2021021322;-9.4;89.0
2021021323;-9.6;93.0
2021021400;-10.5;91.0
2021021401;-11.0;94.0
2021021402;-10.5;90.0
2021021403;-10.8;91.0
2021021404;-10.3;91.0
2021021405;-10.4;89.0
2021021406;-11.3;90.0
2021021407;-10.3;91.0
2021021408;-8.2;83.0
2021021409;-6.1;76.0
2021021410;-3.4;70.0
2021021411;-2.3;64.0
2021021412;-0.9;61.0
2021021413;-0.4;58.0
2021021414;0.7;58.0
2021021415;0.8;59.0
2021021416;-0.3;61.0
2021021417;-1.9;68.0
2021021418;-2.2;69.0
2021021419;-2.2;68.0
2021021420;-2.8;69.0
2021021421;-3.7;71.0
2021021422;-3.6;70.0
2021021423;-3.8;71.0
2021021500;-3.8;67.0
2021021501;-4.6;68.0
2021021502;-4.5;64.0
2021021503;-4.2;61.0
2021021504;-4.4;63.0
2021021505;-4.3;60.0
2021021506;-3.3;56.0
2021021507;-2.8;50.0
2021021508;-2.4;51.0
2021021509;-1.8;48.0
2021021510;-1.1;46.0
2021021511;-0.7;47.0
2021021512;-0.1;46.0
2021021513;0.3;46.0
2021021514;0.4;51.0
2021021515;0.3;56.0
2021021516;-1.4;89.0
2021021517;-1.6;95.0
2021021518;-1.4;98.0
2021021519;-0.6;96.0
2021021520;-0.4;98.0
2021021521;0.4;99.0
2021021522;0.7;99.0
2021021523;0.6;100.0
2021021600;0.7;100.0
2021021601;0.8;100.0
2021021602;0.6;100.0
2021021603;0.9;100.0
2021021604;0.9;100.0
2021021605;1.4;100.0
2021021606;1.5;100.0
2021021607;1.9;100.0
2021021608;1.8;99.0
2021021609;2.1;100.0
2021021610;2.3;98.0
2021021611;3.0;97.0
2021021612;3.5;97.0
2021021613;3.8;98.0
2021021614;4.6;97.0
2021021615;4.6;98.0
2021021616;4.1;97.0
2021021617;3.9;98.0
2021021618;3.7;98.0
2021021619;3.4;97.0
2021021620;2.9;98.0
2021021621;3.4;95.0
2021021622;3.2;95.0
2021021623;3.9;92.0
2021021700;5.3;89.0
2021021701;5.2;92.0
2021021702;5.6;93.0
