MESS_DATUM;F;D
2020123023;6.0;210
2020123100;5.8;220
2020123101;5.2;220
2020123102;6.1;230
2020123103;6.2;230
2020123104;5.8;220
2020123105;6.6;210
2020123106;6.1;210
2020123107;5.4;220
2020123108;5.7;210
2020123109;6.4;210
2020123110;6.3;210
2020123111;5.8;210
2020123112;5.4;210
2020123113;5.3;210
2020123114;4.5;210
2020123115;3.8;210
2020123116;3.6;210
2020123117;3.9;200
2020123118;3.6;210
2020123119;3.8;210
2020123120;4.2;210
2020123121;3.7;190
2020123122;3.7;200
2020123123;4.1;210
2021010100;4.0;220
2021010101;4.2;230
2021010102;3.8;220
2021010103;3.4;230
2021010104;2.6;230
2021010105;2.6;240
2021010106;2.6;260
2021010107;2.7;280
2021010108;3.0;260
2021010109;2.5;250
2021010110;2.7;230
2021010111;2.7;230
2021010112;1.9;230
2021010113;2.2;230
2021010114;2.6;210
2021010115;3.7;210
2021010116;3.5;220
2021010117;3.2;220
2021010118;3.2;230
2021010119;3.2;230
2021010120;3.0;240
2021010121;3.5;230
2021010122;3.8;230
2021010123;3.2;230
2021010200;3.5;220
2021010201;3.2;230
2021010202;3.4;230
2021010203;3.0;230
2021010204;3.4;220
2021010205;4.2;220
2021010206;3.5;230
2021010207;3.1;230
2021010208;2.6;220
2021010209;3.4;220
2021010210;3.3;220
2021010211;2.6;220
2021010212;2.4;220
2021010213;2.0;220
2021010214;1.0;220
2021010215;0.7;170
2021010216;0.6;230
2021010217;2.4;130
2021010218;2.6;130
2021010219;2.2;120
2021010220;2.1;90
2021010221;1.8;80
2021010222;1.7;70
2021010223;2.3;90
2021010300;3.4;100
2021010301;2.6;90
2021010302;2.1;60
2021010303;2.6;50
2021010304;3.2;60
2021010305;3.0;50
2021010306;2.8;50
2021010307;4.4;70
2021010308;4.4;70
2021010309;4.0;50
2021010310;3.8;50
2021010311;4.2;30
2021010312;5.8;50
2021010313;5.4;40
2021010314;6.7;50
2021010315;7.2;60
2021010316;8.2;50
2021010317;7.8;60
2021010318;8.0;60
2021010319;9.3;60
2021010320;8.9;60
2021010321;9.8;60
2021010322;8.9;70
2021010323;8.5;60
2021010400;7.9;60
2021010401;7.8;60
2021010402;8.1;60
2021010403;8.3;60
2021010404;5.5;50
2021010405;5.2;40
2021010406;4.8;30
2021010407;5.0;30
2021010408;5.0;30
2021010409;5.0;30
2021010410;4.9;30
2021010411;5.4;40
2021010412;5.4;30
2021010413;5.4;40
2021010414;5.0;40
2021010415;5.1;30
2021010416;5.0;30
2021010417;5.0;30
2021010418;4.9;40
2021010419;4.9;30
2021010420;4.7;30
2021010421;3.8;30
2021010422;3.4;30
2021010423;3.4;40
2021010500;3.6;40
2021010501;4.0;50
2021010502;4.7;50
2021010503;4.7;50
2021010504;4.5;60
2021010505;3.8;50
2021010506;5.0;60
2021010507;4.9;60
2021010508;5.1;60
2021010509;5.2;60
2021010510;5.2;60
2021010511;5.2;50
2021010512;3.7;40
2021010513;4.1;20
2021010514;4.3;30
2021010515;4.7;30
2021010516;4.7;30
2021010517;4.7;30
2021010518;4.2;40
2021010519;4.1;30
2021010520;3.8;30
2021010521;3.0;20
2021010522;3.2;30
2021010523;3.1;20
2021010600;3.1;20
2021010601;3.7;20
2021010602;3.5;10
2021010603;3.3;10
2021010604;3.9;360
2021010605;3.7;360
2021010606;3.4;360
2021010607;3.2;360
2021010608;2.8;340
2021010609;3.1;330
2021010610;3.5;330
2021010611;4.0;320
2021010612;4.3;320
2021010613;3.8;320
2021010614;3.6;310
2021010615;3.5;310
2021010616;3.8;310
2021010617;3.9;310
2021010618;3.8;310
2021010619;3.4;310
2021010620;3.2;300
2021010621;3.0;300
2021010622;3.0;300
2021010623;2.8;310
2021010700;2.8;300
2021010701;2.5;300
2021010702;2.7;290
2021010703;2.3;290
2021010704;2.3;280
2021010705;2.2;280
2021010706;2.0;280
2021010707;1.9;290
2021010708;1.9;280
2021010709;2.0;270
2021010710;2.2;260
2021010711;2.8;270
2021010712;2.8;260
2021010713;2.6;260
2021010714;2.6;270
2021010715;2.4;260
2021010716;2.2;260
2021010717;2.0;260
2021010718;2.3;260
2021010719;2.0;270
2021010720;1.7;270
2021010721;1.5;270
2021010722;1.1;270
2021010723;0.6;260
2021010800;1.0;330
2021010801;1.3;350
2021010802;1.7;20
2021010803;1.7;10
2021010804;1.6;350
2021010805;2.6;320
2021010806;3.0;320
2021010807;2.6;310
2021010808;2.8;310
2021010809;2.8;310
2021010810;3.3;300
2021010811;3.6;310
2021010812;4.3;310
2021010813;4.1;310
2021010814;3.8;300
2021010815;3.9;310
2021010816;3.6;310
2021010817;3.9;300
2021010818;4.4;290
2021010819;4.6;300
2021010820;4.3;310
2021010821;4.2;310
2021010822;3.4;300
2021010823;3.5;300
2021010900;4.4;310
2021010901;5.2;310
2021010902;4.4;310
2021010903;4.0;310
2021010904;3.5;310
2021010905;3.2;300
2021010906;3.6;310
2021010907;3.8;310
2021010908;3.8;310
2021010909;3.3;300
2021010910;3.2;300
2021010911;3.4;300
2021010912;3.6;300
2021010913;2.9;290
2021010914;3.3;300
2021010915;2.3;290
2021010916;1.5;320
2021010917;0.8;290
2021010918;1.6;290
2021010919;2.0;260
2021010920;1.9;260
2021010921;1.4;260
2021010922;1.3;230
2021010923;1.8;220
2021011000;2.1;230
2021011001;2.6;210
2021011002;2.8;230
2021011003;2.3;220
2021011004;1.8;200
2021011005;2.4;210
2021011006;3.0;220
2021011007;2.4;170
2021011008;2.9;180
2021011009;3.0;190
2021011010;4.2;210
2021011011;5.5;210
2021011012;6.8;220
2021011013;6.4;220
2021011014;5.8;220
2021011015;5.3;210
2021011016;5.2;220
2021011017;5.4;210
2021011018;5.9;220
2021011019;6.0;230
2021011020;5.6;220
2021011021;5.5;230
2021011022;5.9;230
2021011023;4.9;240
2021011100;4.7;240
2021011101;4.2;240
2021011102;5.2;230
2021011103;5.2;230
2021011104;5.2;220
2021011105;6.3;220
2021011106;6.2;220
2021011107;6.9;220
2021011108;7.3;220
2021011109;7.4;220
2021011110;8.0;220
2021011111;8.7;220
2021011112;8.5;220
2021011113;8.4;220
2021011114;9.1;220
2021011115;9.0;220
2021011116;8.8;220
2021011117;8.8;220
2021011118;8.7;220
2021011119;8.8;220
2021011120;8.7;220
2021011121;9.0;220
2021011122;9.0;220
2021011123;9.4;220
2021011200;8.8;230
2021011201;8.6;230
2021011202;8.8;230
2021011203;7.8;240
2021011204;6.9;230
2021011205;4.8;270
2021011206;3.0;300
2021011207;5.4;340
2021011208;1.1;260
2021011209;2.5;290
2021011210;2.9;300
2021011211;3.3;300
2021011212;3.7;290
2021011213;4.0;270
2021011214;4.5;270
2021011215;4.8;270
2021011216;8.7;300
2021011217;6.4;310
2021011218;3.7;280
2021011219;4.3;280
2021011220;4.2;270
2021011221;4.7;260
2021011222;4.8;270
2021011223;5.5;280
2021011300;5.1;270
2021011301;4.2;260
2021011302;4.8;260
2021011303;4.2;260
2021011304;5.1;250
2021011305;5.1;260
2021011306;4.5;250
2021011307;5.1;250
2021011308;5.1;260
2021011309;6.1;250
2021011310;6.5;250
2021011311;6.9;260
2021011312;7.0;250
2021011313;8.0;260
2021011314;7.7;280
2021011315;6.6;280
2021011316;8.1;300
2021011317;8.1;310
2021011318;9.3;320
2021011319;8.3;320
2021011320;8.4;310
2021011321;7.6;310
2021011322;8.6;310
2021011323;8.7;310
2021011400;8.9;310
2021011401;8.4;330
2021011402;7.4;330
2021011403;5.7;340
2021011404;3.9;340
2021011405;3.8;350
2021011406;3.3;340
2021011407;2.6;340
2021011408;2.2;340
2021011409;2.0;320
2021011410;2.9;330
2021011411;3.8;320
2021011412;3.7;330
2021011413;3.7;320
2021011414;3.6;330
2021011415;2.8;320
2021011416;2.5;310
2021011417;1.8;310
2021011418;1.9;320
2021011419;1.6;330
2021011420;2.1;330
2021011421;2.3;330
2021011422;2.1;330
2021011423;2.4;10
2021011500;1.9;350
2021011501;1.8;360
2021011502;2.3;340
2021011503;2.2;340
2021011504;2.4;360
2021011505;2.3;350
2021011506;2.6;350
2021011507;3.5;330
2021011508;3.7;320
2021011509;4.7;330
2021011510;4.3;330
2021011511;4.3;330
2021011512;4.5;330
2021011513;4.5;320
2021011514;4.7;330
2021011515;3.4;20
2021011516;3.2;10
