MESS_DATUM;V_N
2023051304;0
2023051305;0
2023051306;0
2023051307;0
2023051308;0
2023051309;0
2023051310;0
2023051311;0
2023051312;2
2023051313;5
2023051314;0
2023051315;3
2023051316;3
2023051317;1
2023051318;0
2023051319;0
2023051320;0
2023051321;0
2023051322;0
2023051323;0
2023051400;0
2023051401;0
2023051402;0
2023051403;0
2023051404;0
2023051405;6
2023051406;6
2023051407;8
2023051408;8
2023051409;8
2023051410;6
2023051411;7
2023051412;8
2023051413;8
2023051414;8
2023051415;8
2023051416;4
2023051417;8
2023051418;2
2023051419;0
2023051420;8
2023051421;8
2023051422;8
2023051423;7
2023051500;1
2023051501;8
2023051502;7
2023051503;7
2023051504;7
2023051505;0
2023051506;0
2023051507;2
2023051508;0
2023051509;0
2023051510;0
2023051511;5
2023051512;4
2023051513;8
2023051514;8
2023051515;8
2023051516;7
2023051517;4
2023051518;7
2023051519;3
2023051520;8
2023051521;7
2023051522;8
2023051523;8
2023051600;8
2023051601;8
2023051602;8
2023051603;8
2023051604;8
2023051605;8
2023051606;5
2023051607;7
2023051608;7
2023051609;4
2023051610;2
2023051611;7
2023051612;3
2023051613;7
2023051614;7
2023051615;5
2023051616;8
2023051617;7
2023051618;8
2023051619;8
2023051620;8
2023051621;7
2023051622;8
2023051623;7
2023051700;7
2023051701;7
2023051702;2
2023051703;1
2023051704;3
2023051705;7
2023051706;6
2023051707;8
2023051708;7
2023051709;7
2023051710;7
2023051711;7
2023051712;7
2023051713;7
2023051714;7
2023051715;7
2023051716;8
2023051717;7
2023051718;8
2023051719;8
2023051720;8
2023051721;8
2023051722;7
2023051723;8
2023051800;7
2023051801;8
2023051802;8
2023051803;8
2023051804;8
2023051805;8
2023051806;8
2023051807;8
2023051808;7
2023051809;8
2023051810;0
2023051811;0
2023051812;0
2023051813;0
2023051814;0
2023051815;0
2023051816;0
2023051817;7
2023051818;8
2023051819;8
2023051820;8
2023051821;8
2023051822;8
2023051823;8
2023051900;7
2023051901;8
2023051902;8
2023051903;8
2023051904;8
2023051905;8
2023051906;8
2023051907;8
2023051908;8
2023051909;8
2023051910;6
2023051911;8
2023051912;5
2023051913;5
2023051914;1
2023051915;0
2023051916;8
2023051917;7
2023051918;8
2023051919;8
2023051920;8
2023051921;2
2023051922;8
2023051923;8
2023052000;8
2023052001;8
2023052002;8
2023052003;8
2023052004;8
2023052005;4
2023052006;7
2023052007;6
2023052008;6
2023052009;7
2023052010;7
2023052011;8
2023052012;8
2023052013;8
2023052014;8
2023052015;8
2023052016;8
2023052017;8
2023052018;8
2023052019;8
2023052020;7
2023052021;8
2023052022;8
2023052023;8
2023052100;8
2023052101;7
2023052102;8
2023052103;8
2023052104;7
2023052105;8
2023052106;7
2023052107;1
2023052108;7
2023052109;8
2023052110;8
2023052111;7
2023052112;8
2023052113;8
2023052114;8
2023052115;8
2023052116;8
2023052117;8
2023052118;8
2023052119;8
2023052120;8
2023052121;8
2023052122;8
2023052123;8
2023052200;8
2023052201;8
2023052202;8
2023052203;8
2023052204;8
2023052205;8
2023052206;8
2023052207;8
2023052208;8
2023052209;8
2023052210;8
2023052211;8
2023052212;8
2023052213;8
2023052214;8
2023052215;8
2023052216;7
2023052217;8
2023052218;8
2023052219;8
2023052220;7
2023052221;8
2023052222;7
2023052223;7
2023052300;7
2023052301;7
2023052302;8
2023052303;8
2023052304;8
2023052305;8
2023052306;8
2023052307;8
2023052308;7
2023052309;8
2023052310;8
2023052311;8
2023052312;7
2023052313;7
2023052314;7
2023052315;8
2023052316;7
2023052317;7
2023052318;7
2023052319;8
2023052320;7
2023052321;7
2023052322;8
2023052323;8
2023052400;8
2023052401;8
2023052402;8
2023052403;8
2023052404;8
2023052405;7
2023052406;7
2023052407;8
2023052408;8
2023052409;8
2023052410;8
2023052411;8
2023052412;8
2023052413;8
2023052414;8
2023052415;6
2023052416;1
2023052417;6
2023052418;2
2023052419;4
2023052420;1
2023052421;7
2023052422;8
2023052423;7
2023052500;0
2023052501;0
2023052502;0
2023052503;0
2023052504;8
2023052505;2
2023052506;0
2023052507;3
2023052508;5
2023052509;2
2023052510;4
2023052511;6
2023052512;5
2023052513;0
2023052514;0
2023052515;0
2023052516;0
2023052517;0
2023052518;0
2023052519;0
2023052520;0
2023052521;0
2023052522;0
2023052523;0
2023052600;0
2023052601;0
2023052602;0
2023052603;0
2023052604;0
2023052605;0
2023052606;0
2023052607;0
2023052608;2
2023052609;3
2023052610;5
2023052611;6
2023052612;8
2023052613;6
2023052614;7
2023052615;4
2023052616;4
2023052617;0
2023052618;0
2023052619;0
2023052620;0
2023052621;0
2023052622;0
2023052623;0
2023052700;0
2023052701;0
2023052702;0
2023052703;0
2023052704;0
2023052705;0
2023052706;0
2023052707;0
2023052708;0
2023052709;3
2023052710;4
