Date;Open;High;Low;Last;Volume;Status
21.01.2022;86,75;88,23;85,71;87,89;288214;0
24.01.2022;87,93;88,9;85,04;86,27;309894;0
25.01.2022;86,76;88,37;86,2;88,2;256212;0
26.01.2022;87,95;90,47;87,79;89,96;260111;0
27.01.2022;89,7;91,04;89;89,34;131704;0
28.01.2022;89,98;91,7;89,41;90,03;102009;0
31.01.2022;90,8;91,48;90,61;91,21;11010;0
01.02.2022;89,62;89,96;87,72;89,16;271771;0
02.02.2022;89,48;90,52;88,28;89,47;319432;0
03.02.2022;89,07;91,3;88,02;91,11;301787;0
04.02.2022;91,3;93,7;91,2;93,27;322131;0
07.02.2022;92,75;94;92,13;92,69;317289;0
08.02.2022;92,63;92,93;89,93;90,78;368548;0
09.02.2022;91,08;92,09;90,05;91,55;294004;0
10.02.2022;91,75;93,1;90,88;91,41;369013;0
11.02.2022;91,17;95,66;90,51;94,44;452105;0
14.02.2022;95,2;96,78;93,44;96,48;373086;0
15.02.2022;95,81;96,26;92,06;93,28;378253;0
16.02.2022;93,49;96,07;91,11;94,81;393794;0
17.02.2022;92,2;94,5;92,14;92,97;347788;0
18.02.2022;92,73;94,15;90,12;93,54;348345;0
21.02.2022;94,29;97,4;92,57;95,39;217035;0
22.02.2022;96,55;99,5;95,8;96,84;316384;0
23.02.2022;96,65;98,71;95,81;96,84;238632;0
24.02.2022;98,08;105,79;97,56;99,08;167791;0
25.02.2022;100,69;101,99;96;97,93;68982;0
28.02.2022;101,98;105,07;99,64;100,99;22961;0
01.03.2022;98,43;107,67;98,3;104,97;492513;0
02.03.2022;107,34;115,11;106,83;112,93;490567;0
03.03.2022;115,27;119,84;109,4;110,46;452523;0
04.03.2022;114,23;118,98;109,62;118,11;334408;0
07.03.2022;122,79;139,13;119,04;123,21;419930;0
08.03.2022;124,56;133,15;121,31;127,98;469994;0
09.03.2022;130,28;131,64;105,6;111,14;521577;0
10.03.2022;112,65;118,36;109;109,33;352338;0
11.03.2022;110,26;113,91;107,13;112,67;287385;0
14.03.2022;113,15;113,15;103,49;106,9;265914;0
15.03.2022;105,34;105,71;97,44;99,91;318121;0
16.03.2022;99,14;103,7;96,93;98,02;246821;0
17.03.2022;98,61;107,5;97,75;106,64;200947;0
18.03.2022;106,8;109,59;105,78;107,93;168906;0
21.03.2022;107,5;116,8;107,06;115,62;196494;0
22.03.2022;117,04;119,48;112,64;115,48;204659;0
23.03.2022;114,7;122,34;114,45;121,6;224526;0
24.03.2022;121,56;123,74;116,93;119,03;177664;0
25.03.2022;118,88;120,92;115,16;120,65;133459;0
28.03.2022;119,9;119,9;109,06;112,48;150818;0
29.03.2022;110,1;114,83;104,84;110,23;93679;0
30.03.2022;112;114,8;110,74;113,45;72332;0
31.03.2022;112,81;112,94;106,5;107,91;8678;0
01.04.2022;105,25;106,24;102,35;104,39;238624;0
04.04.2022;104,08;108,68;102,89;107,53;218681;0
05.04.2022;108,51;109,9;104,53;106,64;203055;0
06.04.2022;105,7;108,67;100,54;101,07;286516;0
07.04.2022;101,78;103,59;98,41;100,58;296034;0
08.04.2022;101,42;103,3;99,65;102,78;217643;0
11.04.2022;103,21;103,3;97,57;98,48;238692;0
12.04.2022;99,35;105,6;98,9;104,64;273948;0
13.04.2022;105,44;109;104,06;108,78;247255;0
14.04.2022;108,29;112,39;106,63;111,7;210179;0
18.04.2022;112,32;114,84;110,71;113,16;132154;0
19.04.2022;112,85;114,21;106,74;107,25;239907;0
20.04.2022;108,1;109;104,65;106,8;243672;0
