MESS_DATUM;SD_SO
2023083103;0.0
2023083104;0.0
2023083105;0.0
2023083106;0.0
2023083107;1.0
2023083108;0.0
2023083109;4.0
2023083110;0.0
2023083111;8.0
2023083112;28.0
2023083113;11.0
2023083114;6.0
2023083115;38.0
2023083116;11.0
2023083117;7.0
2023083118;0.0
2023083119;0.0
2023083120;0.0
2023090103;0.0
2023090104;0.0
2023090105;0.0
2023090106;1.0
2023090107;7.0
2023090108;3.0
2023090109;6.0
2023090110;33.0
2023090111;59.0
2023090112;51.0
2023090113;56.0
2023090114;41.0
2023090115;33.0
2023090116;11.0
2023090117;37.0
2023090118;36.0
2023090119;0.0
2023090120;0.0
2023090203;0.0
2023090204;0.0
2023090205;0.0
2023090206;52.0
2023090207;60.0
2023090208;60.0
2023090209;60.0
2023090210;60.0
2023090211;60.0
2023090212;60.0
2023090213;60.0
2023090214;47.0
2023090215;52.0
2023090216;49.0
2023090217;60.0
2023090218;54.0
2023090219;0.0
2023090220;0.0
2023090303;0.0
2023090304;0.0
2023090305;0.0
2023090306;0.0
2023090307;12.0
2023090308;53.0
2023090309;59.0
2023090310;59.0
2023090311;57.0
2023090312;60.0
2023090313;53.0
2023090314;58.0
2023090315;60.0
2023090316;50.0
2023090317;1.0
2023090318;0.0
2023090319;0.0
2023090320;0.0
2023090403;0.0
2023090404;0.0
2023090405;3.0
2023090406;60.0
2023090407;60.0
2023090408;60.0
2023090409;60.0
2023090410;60.0
2023090411;60.0
2023090412;60.0
2023090413;60.0
2023090414;60.0
2023090415;60.0
2023090416;60.0
2023090417;60.0
2023090418;49.0
2023090419;0.0
2023090420;0.0
2023090503;0.0
2023090504;0.0
2023090505;2.0
2023090506;60.0
2023090507;60.0
2023090508;60.0
2023090509;60.0
2023090510;60.0
2023090511;60.0
2023090512;60.0
2023090513;60.0
2023090514;60.0
2023090515;60.0
2023090516;60.0
2023090517;60.0
2023090518;45.0
2023090519;0.0
2023090520;0.0
2023090603;0.0
2023090604;0.0
2023090605;0.0
2023090606;60.0
2023090607;60.0
2023090608;60.0
2023090609;60.0
2023090610;60.0
2023090611;60.0
2023090612;60.0
2023090613;60.0
2023090614;60.0
2023090615;60.0
2023090616;60.0
2023090617;60.0
2023090618;46.0
2023090619;0.0
2023090620;0.0
2023090703;0.0
2023090704;0.0
2023090705;0.0
2023090706;60.0
2023090707;60.0
2023090708;60.0
2023090709;60.0
2023090710;60.0
2023090711;60.0
2023090712;60.0
2023090713;60.0
2023090714;60.0
2023090715;60.0
2023090716;60.0
2023090717;60.0
2023090718;43.0
2023090719;0.0
2023090720;0.0
2023090803;0.0
2023090804;0.0
2023090805;0.0
2023090806;57.0
2023090807;60.0
2023090808;60.0
2023090809;60.0
2023090810;60.0
2023090811;60.0
2023090812;60.0
2023090813;60.0
2023090814;60.0
2023090815;59.0
2023090816;60.0
2023090817;60.0
2023090818;34.0
2023090819;0.0
2023090820;0.0
2023090903;0.0
2023090904;0.0
2023090905;0.0
2023090906;35.0
2023090907;60.0
2023090908;60.0
2023090909;60.0
2023090910;60.0
2023090911;60.0
2023090912;60.0
2023090913;60.0
2023090914;60.0
2023090915;60.0
2023090916;60.0
2023090917;60.0
2023090918;29.0
2023090919;0.0
2023090920;0.0
2023091003;0.0
2023091004;0.0
2023091005;0.0
2023091006;21.0
2023091007;60.0
2023091008;60.0
2023091009;60.0
2023091010;60.0
2023091011;60.0
2023091012;60.0
2023091013;60.0
2023091014;60.0
2023091015;60.0
2023091016;60.0
2023091017;60.0
2023091018;25.0
2023091019;0.0
2023091020;0.0
2023091103;0.0
2023091104;0.0
2023091105;0.0
2023091106;31.0
2023091107;60.0
2023091108;60.0
2023091109;60.0
2023091110;60.0
2023091111;60.0
2023091112;60.0
2023091113;60.0
2023091114;60.0
2023091115;60.0
2023091116;60.0
2023091117;60.0
2023091118;17.0
2023091119;0.0
2023091120;0.0
2023091203;0.0
2023091204;0.0
2023091205;0.0
2023091206;37.0
2023091207;60.0
2023091208;60.0
2023091209;60.0
2023091210;60.0
2023091211;60.0
2023091212;60.0
2023091213;55.0
2023091214;60.0
2023091215;60.0
2023091216;60.0
2023091217;23.0
2023091218;0.0
2023091219;0.0
2023091220;0.0
2023091303;0.0
2023091304;0.0
2023091305;0.0
2023091306;13.0
2023091307;0.0
2023091308;0.0
2023091309;4.0
2023091310;0.0
2023091311;50.0
2023091312;32.0
2023091313;0.0
2023091314;0.0
2023091315;0.0
2023091316;0.0
2023091317;0.0
2023091318;0.0
2023091319;0.0
2023091320;0.0
2023091403;0.0
2023091404;0.0
2023091405;0.0
2023091406;0.0
2023091407;0.0
2023091408;0.0
2023091409;0.0
2023091410;1.0
2023091411;33.0
2023091412;11.0
2023091413;33.0
2023091414;55.0
2023091415;36.0
2023091416;59.0
2023091417;60.0
2023091418;11.0
2023091419;0.0
2023091420;0.0
2023091503;0.0
2023091504;0.0
2023091505;0.0
2023091506;0.0
2023091507;0.0
2023091508;0.0
2023091509;47.0
2023091510;60.0
2023091511;60.0
2023091512;60.0
2023091513;60.0
2023091514;60.0
2023091515;60.0
2023091516;60.0
2023091517;60.0
2023091518;8.0
2023091519;0.0
